기준_년월_코드,상권_코드,상권_코드_명,시군구_코드,행정동_코드,총_생활인구_수,배후지_총_생활인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,배후지_아파트_단지_수,배후지_아파트_가격_1_억_미만_세대_수,배후지_아파트_가격_1_억_세대_수,배후지_아파트_가격_2_억_세대_수,배후지_아파트_가격_3_억_세대_수,배후지_아파트_가격_4_억_세대_수,배후지_아파트_가격_5_억_세대_수,배후지_아파트_가격_6_억_이상_세대_수,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수,배후지_서비스_업종_코드,배후지_서비스_업종_코드_명,배후지_점포_수,배후지_유사_업종_점포_수,배후지_개업_율,배후지_개업_점포_수,배후지_폐업_률,배후지_폐업_점포_수,배후지_프랜차이즈_점포_수
201810,1001453,낙성대시장,11620,11620585,204671.0,204671.0,7.0,18.0,45.0,3.0,,,,,,,,,,,,,CS300033,철물점,2,2,0,0,0,0,0,,,,,,,,,
201810,1001454,봉천제일종합시장,11620,11620595,87549.0,87549.0,2.0,,14.0,,1.0,,,,,,,,,,,,CS300043,전자상거래업,0,0,0,0,0,0,0,,,,,,,,,
201810,1001474,도곡시장,11680,11680650,282017.0,282017.0,2.0,,,,,8.0,,76.0,,,,,,,,,CS300043,전자상거래업,0,0,0,0,0,0,0,,,,,,,,,
201810,1001475,강남개포시장,11680,11680670,38287.0,38287.0,,,,,,,,,,,,,,,,,CS300043,전자상거래업,3,3,0,0,0,0,0,,,,,,,,,
201810,1001412,화곡본동시장,11500,11500590,164468.0,164468.0,12.0,43.0,65.0,10.0,,,,,,,,,,,,,CS300041,예술품,1,1,0,0,0,0,0,,,,,,,,,
201810,1001413,까치산시장,11500,11500593,1046592.0,1046592.0,29.0,44.0,219.0,12.0,24.0,,,,,,,,,,,,CS300043,전자상거래업,2,2,0,0,0,0,0,,,,,,,,,
201810,1001414,송화골목시장,11500,11500611,199069.0,199069.0,12.0,17.0,118.0,69.0,,,,,,,,,,,,,CS300043,전자상거래업,0,0,0,0,0,0,0,,,,,,,,,
201810,1001452,중부시장,11620,11620575,252439.0,252439.0,4.0,1.0,45.0,7.0,5.0,1.0,,,,,,,,,,,CS300043,전자상거래업,0,0,0,0,0,0,0,,,,,,,,,
201810,1001415,방신전통시장,11500,11500630,237511.0,237511.0,3.0,9.0,1.0,87.0,14.0,,,,,,,,,,,,CS300043,전자상거래업,1,1,0,0,0,0,0,,,,,,,,,
201810,1001416,공항시장,11500,11500640,57350.0,57350.0,,,,,,,,,,,,,,,,,CS300034,악기,0,0,0,0,0,0,0,,,,,,,,,
201810,1001423,독산동 우시장,11545,11545610,120336.0,120336.0,,,,,,,,,,,,,,,,,CS300043,전자상거래업,1,1,0,0,0,0,0,,,,,,,,,
201810,1001424,남문시장,11545,11545630,263588.0,263588.0,24.0,23.0,248.0,2.0,,,,,,,,,,,,,CS300043,전자상거래업,1,1,0,0,0,0,0,,,,,,,,,
201810,1001425,푸른터시장,11545,11545630,68953.0,68953.0,1.0,,18.0,1.0,,,,,,,,,,,,,CS300043,전자상거래업,1,1,0,0,0,0,0,,,,,,,,,
201810,1001426,대명시장,11545,11545670,22681.0,22681.0,,,,,,,,,,,,,,,,,CS300036,조명용품,1,1,0,0,0,0,0,,,,,,,,,
201810,1001427,현대시장,11545,11545670,584730.0,584730.0,18.0,136.0,120.0,6.0,,,,,,,,,,,,,CS300043,전자상거래업,0,0,0,0,0,0,0,,,,,,,,,
201810,1001428,박미시장,11545,11545690,20762.0,20762.0,3.0,,45.0,,,,,,,,,,,,,,CS300036,조명용품,1,1,0,0,0,0,0,,,,,,,,,
201810,1001429,은행나무시장,11545,11545710,131039.0,131039.0,9.0,,93.0,10.0,,,,,,,,,,,,,CS300036,조명용품,0,0,0,0,0,0,0,,,,,,,,,
201810,1001470,강남시장_강남,11680,11680510,39866.0,39866.0,1.0,,,38.0,18.0,4.0,27.0,7.0,,,,,,,,,CS300041,예술품,0,0,0,0,0,0,0,,,,,,,,,
201810,1001372,녹번시장,11380,11380580,40562.0,40562.0,,,,,,,,,,,,,,,,,CS300031,가구,0,0,0,0,0,0,0,,,,,,,,,
