기준_년_코드,기준_분기_코드,상권_코드,상권_코드_명,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수
2021,2,1001495,잠실 관광특구,26,11.0,239.0,420.0,89.0,50.0,22.0,1170.0
2021,1,1001495,잠실 관광특구,22,16.0,348.0,283.0,83.0,70.0,16.0,1156.0
2021,2,1001494,종로?청계 관광특구,8,76.0,280.0,,,,,
2021,1,1001494,종로?청계 관광특구,5,77.0,279.0,,,,,
2021,2,1001493,동대문패션타운 관광특구,11,,507.0,154.0,28.0,,4.0,291.0
2021,1,1001493,동대문패션타운 관광특구,8,,472.0,159.0,22.0,,24.0,271.0
2021,2,1001491,이태원 관광특구,70,10.0,81.0,96.0,200.0,143.0,77.0,105.0
2021,1,1001491,이태원 관광특구,71,14.0,87.0,98.0,221.0,123.0,91.0,87.0
2021,2,1001490,길동복조리시장,39,23.0,314.0,121.0,149.0,178.0,30.0,1.0
2021,1,1001490,길동복조리시장,37,24.0,322.0,144.0,164.0,161.0,,1.0
2021,2,1001489,둔촌역전통시장,8,5.0,31.0,24.0,68.0,1.0,1.0,
2021,1,1001489,둔촌역전통시장,8,5.0,30.0,25.0,66.0,3.0,1.0,
2021,2,1001488,성내골목시장,11,12.0,52.0,6.0,60.0,,,
2021,1,1001488,성내골목시장,11,12.0,54.0,4.0,60.0,,,
2021,2,1001486,동서울시장,1,,4.0,,,,,
2021,1,1001486,동서울시장,1,,4.0,,,,,
2021,2,1001485,고분다리골목시장,2,2.0,11.0,2.0,,,,
2021,1,1001485,고분다리골목시장,2,2.0,11.0,2.0,,,,
2021,2,1001484,양지골목시장,17,20.0,77.0,150.0,5.0,14.0,4.0,
2021,1,1001484,양지골목시장,17,20.0,85.0,142.0,6.0,17.0,,
2021,2,1001483,암사종합시장,15,39.0,100.0,8.0,,,,
2021,1,1001483,암사종합시장,18,39.0,118.0,9.0,33.0,,,
2021,2,1001482,고덕전통시장,1,,6.0,,,,,
2021,1,1001482,고덕전통시장,1,,6.0,,,,,
2021,2,1001481,명일골목시장,5,3.0,20.0,1.0,227.0,324.0,,
2021,1,1001481,명일골목시장,4,4.0,20.0,,265.0,286.0,,
2021,2,1001480,새마을시장,47,16.0,225.0,164.0,49.0,6.0,,
2021,1,1001480,새마을시장,44,15.0,231.0,142.0,39.0,5.0,,
2021,2,1001479,석촌시장,14,15.0,76.0,33.0,27.0,,,60.0
2021,1,1001479,석촌시장,13,19.0,75.0,34.0,23.0,,4.0,56.0
2021,2,1001478,방이시장,178,93.0,595.0,701.0,88.0,13.0,5.0,19.0
2021,1,1001478,방이시장,174,107.0,611.0,655.0,73.0,9.0,11.0,12.0
2021,2,1001477,마천시장,6,3.0,23.0,26.0,,,,
2021,1,1001477,마천시장,6,3.0,23.0,26.0,,,,
2021,2,1001476,풍납시장,19,10.0,73.0,25.0,,,,
2021,1,1001476,풍납시장,20,12.0,77.0,23.0,,,,
2021,2,1001474,도곡시장,2,,,,,8.0,,76.0
2021,1,1001474,도곡시장,1,,,,,8.0,,76.0
2021,2,1001473,청담삼익시장,1,,,,,,,48.0
2021,2,1001472,논현종합시장,3,,4.0,8.0,6.0,2.0,,9.0
2021,1,1001472,논현종합시장,3,,8.0,4.0,6.0,2.0,1.0,8.0
2021,2,1001471,영동전통시장,19,,130.0,72.0,19.0,11.0,,2.0
2021,1,1001471,영동전통시장,18,13.0,104.0,77.0,9.0,10.0,,2.0
2021,2,1001470,강남시장_강남,1,,,38.0,18.0,4.0,27.0,7.0
2021,1,1001470,강남시장_강남,1,,,42.0,16.0,29.0,7.0,
2021,2,1001469,양재시장,2,1.0,12.0,4.0,,,,
2021,1,1001469,양재시장,2,1.0,14.0,2.0,,,,
2021,2,1001468,남부종합시장,4,,7.0,12.0,13.0,10.0,,
2021,1,1001468,남부종합시장,3,,4.0,7.0,5.0,4.0,,
2021,2,1001467,우림시장,1,,8.0,4.0,,,,
