store_name,store_code
오리지널팬케이크하우스 도곡점,1244381474
안남,530488654
포브라더스 도곡점,21732929
라피노,1780901162
점보씨푸드,1952504205
소담소,1845316835
미에뜨,1287496631
마누테라스,1528536629
Merci,1160394761
도쿄등심 도곡점,1356807025
원스타 올드패션드 햄버거,1635037172
리베르떼,19877674
리애,36995601
마켓오 도곡점,13573038
더 다이브,1579624210
퀸즈 블러바드,1156931389
4.2 캐쥬얼 다이닝,34015367
경복궁 도곡점,13433563
하영호신촌설렁탕 본점,10985460
cuisson82,21407004
언노운다이너,31564605
홀리차우 도곡점,13370773
명동관,18570828
도마,1765039418
백마 김씨네 도곡본점,11887797
키노에다,1730711062
소호정 본점,11720823
스시강지문,33890713
카페톨릭스,36640163
라드레쎄,34098112
풍류랑,1809480572
필라이크잇,1256777549
소신,1429930181
벽제갈비 타워팰리스점,12973777
minu c,1045421282
아웃백스테이크하우스 도곡점,11683254
마린,1437880827
카츠오우 도곡점,1003690665
밀란국수 개포본점,18416891
바베큐랩,1202187934
강남그릴,1619919880
쿠시카와,1147649890
차만다 도곡점,1565867078
평양면옥도곡점,34882345
샤브미 도곡동점,11683543
설천 오이스터바,1484120337
레아,1418523708
브루스리,19862124
리엔,179387776
요우,1473133265
타워차이,11709263
와인 쉬어리,1910225724
매드포갈릭 도곡점,18555629
마포집,19882458
인덕원비빔국수,1090964067
원조닭한마리,13575033
홈크랩,1233669551
빕스 도곡역점,11735695
그안에맛있는이탈리안,11886670
이북손만두 담온,1475621476
다목당,1278436155
삼식이감자탕뼈해장국,37326967
양재초밥,1662252522
꼬메도르16,37927458
여민락,18548850
양재박삼겹,1527336807
생어거스틴 도곡점,32873729
연스시,1845971091
오가네족발 본점,20854829
이스트빌리지서울 대치점,1488025892
비스트로상수,1124192934
레니 LP MUSIC BAR,1937117698
빨간오뎅 부산어묵,37997290
사월에보리밥 대치점,11729557
마봉양꼬치 매봉점,38011100
봉피양 대치점,12973950
도연하다,33821223
춘천명물닭갈비 제1호점,18420156
사람사는 고깃집 김일도 도곡점,1843290186
설성목장 타워팰리스점,37271930
명성이자자한국시집,20601150
일도씨닭갈비 대치점,1601177269
순리대로 강남도곡본점,1851351813
호수삼계탕 도곡동직영점,31704658
진대감 도곡점,33741142
영산포홍어,31044489
영동올뱅이집,33877531
도곡 미주리,1435548790
사위식당 도곡점,1701793098
효미역 도곡점,1564555464
양재오제섞어 양재본점,37307613
아낙감 본점,31608004
네모오징어 도곡본점,35727428
연안식당 도곡점,1158778310
남도복국 매봉점,1113238515
그집갈비탕&매운갈비찜,31341283
무쏘 도곡점,1282460598
봉시김치찌개,1603401627
일상,37294243
양재불백,1011231459
삼곱식당 개포점,34013004
제주왕솥뚜껑삼겹살,38276203
소호정 신관,18252826
전주콩뿌리콩나물국밥 도곡점,21559094
원할머니보쌈족발 개포점,1979553086
어반진지 도곡본점,1180001435
생고기원조소금구이,13179724
양촌리화로숯불구이,13150396
형제곱창 포이점,36947809
흙향,33243499
숙아채콩나물국밥,13101198
신선설농탕 도곡점,11680229
도반,1636055880
두어마리,37260576
도토리마을 포이점,11886608
사리원 도곡점,11710938
삼곱식당 양재점,32593801
부산양대창전문점,1003088907
갯바위,13466158
소도둑 양재동점,1919763874
돈가네김치찌개 본사직영점,20633554
개포동장군주먹고기,1258223030
봄에한우,36768557
두부야,18386914
알마튜나 도곡점,1625736209
희앤락,34896860
삼곱식당 매봉점,1262674479
스시카와,37883085
미타니야 타워점,19882466
토리시오,1540123263
설국,18593840
갓포문,19816442
찰미당,1898283395
야마모토스시 도곡동점,20601123
부타식당,335836479
쿡투게더,1442954319
참치대가 개포점,37196230
고씨네 강남도곡점,55737564
미도리,1124953384
혜화동 돈까스극장 서울개포점,1470312941
돈바치,1796379910
민해스시,38483539
카츠젠대치점,88607710
로봇초밥마켓 강남점,1031735438
혼마참치,20619413
스시나미,1495333092
송송카츠,1119459568
김호권의청년어부 양재점,1000268256
스시나무,1747891175
스시현,36960035
양재돈까스 양재직영점,13312231
엠브이샤브샤브,36444227
채선당 개포점,19452520
가츠몽 대치점,86974372
경수사,32448745
스미레통,1326262682
야자미,18549738
동경규동 대치점,1677950688
골목카이센동,1598569150
미소야 개포점,11761272
개포수산,1793967701
삼학도,18250494
복찬이네,1158137159
북해도,20622587
스시하루,37433298
나루토,338269514
가츠몽양재점,193124482
생선쓰,1530589732
튜나익스프레스,1518880201
서리풀돈까스,1830398009
오므스파,1637378731
라온카츠,1191825126
기소야 포이점,1477997266
호시노야,11707328
미락,31986558
수복초밥,18419685
아지와이,34053195
이도미스시,1697193173
쿠니돈까스,1525172373
엔제이스토리,1375304796
킴스우동,1376591719
청담 수,1897530998
야미엔,20619220
달달,1126370103
청년어부 양재점,1353747357
타워차이 타워팰리스점,37766384
용무있습니까,37049248
마라토끼 양재점,1190936034
인생짬뽕,1056558009
이가네양꼬치 매봉점,1477556252
천향,1300124326
하영각,1309534799
뽕사부 도곡점,1762994325
칠선장원,13042377
연우,20627330
도곡원 본점,1920678976
메이차이,1540401112
다크써클브로스 SSG푸드마켓도곡점,1370022306
천희양꼬치 양재점,1363194975
마봉양꼬치 양재포이점,1024235761
봉화장,1748319080
램포차,1098331785
홍차우,19931653
천용,1871299514
삼성각,1295020951
하우츠,18801722
리거양꼬치,20528369
다래성 양재동,1857834841
백년교동짬뽕 개포점,1810292309
샤브샤브 훠궈애,1274486514
중화요리만금성,1037182283
우성각,18593636
동원중화요리,32265362
양자강,12065907
북경반점,18417955
도담그루,1643028563
자금성,18417964
공화춘 도곡점,1194795992
송원,18569776
국빈,37417405
음식남녀,1683511197
하우츠,1295144648
라오베이징 도곡점,1871450597
회빈,36029142
요기루,1700422699
문짬뽕,1586227984
현경 양재점,18242026
순미,1111600061
라마라운지,1176881980
희래등 서초,1823006113
마녀짜장,1030695974
동원,1711851631
포메인 레드 도곡점,1184456282
콜라겐팩토리,31402766
한스포,13476805
미스사이공 포이사거리점,795678869
포몬스 양재점,31237989
포타워,20636621
포카이,18471996
동해,31525587
포엠쓰리,37582869
드림스페이스,33562341
혼밥과 혼술사이,1387264245
cyclo 쌀국수전문점,1423945701
포아이니,1594995235
까사 메르시,1166920228
쉐라미,1236369266
데니스타코 양재점,1120215068
존쿡델리미트 시그니처점,1077633589
리나스파파,37464359
라 퀴진,1140533850
더 맛있는 스테이크,34699293
작품 파스타&피자,1166710113
엠나인파스타,31506135
101STEAK,38278576
스타쉐프,11855736
그램,13160546
쉐플로,19743812
스파게티스토리,37615866
곰스603 포이사거리점,387164567
올리브 그레인앤와인,1964176852
이실장의추천메뉴,111502361
푸딩에프엔비,19748145
도란도란,37797667
안부테이블,1361806131
바로쿡닷컴,21224916
더피자샵,1277026321
테이블159,1270950802
루나리치 가맹본부,38404623
일마레,1978338705
씨제이푸드빌,18468250
Lab,1578074208
푸드빌,1265491553
누올리언스,1544006651
도스타코스,1630998891
토마토,1424574060
딕훼밀리,1891787259
무크,1778667587
테이블온더문,1482868354
생강김밥 본점,1775159542
스텔라떡볶이 개포점,1264091478
우리할매떡볶이 개포점,1578533353
레드175 대치역점,1891657344
한입만,675923090
정성만김밥 도곡점,36084661
정떡볶이,1108606173
바르다김선생 도곡역점,34754407
스텔라떡볶이 도곡렉슬점,1193207426
소풍가는날두번째이야기,37437787
더볶이,1793312616
바르다김선생 개포점,1682847890
이삭토스트 개포동역점,38473617
고봉민김밥인 서울대치역점,33938175
뚝딱떡볶이,1166139855
오락,31462410
신전떡볶이 개포수서점,1946598459
고봉민김밥인 서초양재점,35545384
삼첩분식 서울대치점,1859720010
동대문엽기떡볶이 개포동역점,36601251
33떡볶이 대치점,1060062692
동대문엽기떡볶이 개포점,33575961
심기동김밥,1029915603
김가네김밥 개포2호점,11760814
김가네김밥 매봉역점,11760907
김밥천국 포이점,18416694
오마뎅 대치팰리스점,1572903428
죠스떡볶이 포이사거리점,31454088
죠스떡볶이 개포점,1424843720
채움 포이점,487445232
국대떡볶이 양재점,1206234976
아담만두 개포동점,1389099770
맘스분식,1482506069
개포동왕떡볶이,1582474051
응급실국물떡볶이 서울양재점,1443504014
캠토토스트 국악고점,1782675433
명인만두 대치점,1259689992
김밥천국 매봉점,1646815474
샬롬하우스,1523387137
명인만두 도곡1호점,33771213
봉구스밥버거 양재점,32407483
신전떡볶이 양재점,37910679
맛있는간식가게 양재점,1922426857
이모네김밥,1837260334
오마뎅 도곡렉슬점,419502570
바비김,1698014722
커피마마 양재점,37370613
착한토스트,1223317555
만나떡볶이,1223734134
이모네옛날떡볶이&돈가스,1911738059
김밥천국 대치역점,18470386
만나분식,38431151
석봉토스트 대치점,12951641
배떡 로제떡볶이 국악고점,1726327365
유미분식,1139281688
밥리버거 개포점,36561393
개포분식,1038363723
내고향왕만두 개포점,20513340
사보르 개포점,1008816811
김밥여행포이점,18802298
이모네깁밥,1908278006
자매분식,1348277431
오구또와,36997812
분식의신 매봉역점,1917537160
슈퍼맵짱떡볶이,1650710472
레드벨,1265956863
캠토 토스트앤분식,1775938917
푸드카페,37568091
사거리집,20644288
신개념김밥전문점,1223286191
홍스포차 양재점,1280672710
추억1983,1787873803
곽선생왕만두 매봉역점,1564260061
해남분식,1072709162
왓츠피데 개포점,38508033
모스버거 대치역점,733054115
버거킹 대치역점,20207150
노브랜드버거 대치대원빌딩점,1582811251
버거킹 강남도곡점,1374016793
롯데리아 개포점,33798994
정쿡엔티 수제샌드위치,1948849518
강남도그,1148713262
샌드위밋 도곡점,1928393608
해마도,18593529
빅스타피자 개포점,1340954880
청년피자 개포점,1921072133
반올림피자샵 강남1호점,1182131723
자가제빵선명희피자 양재점,1346815715
도미노피자 개포점,11684335
THE PIZZA SHOP,1019941445
파파존스 도곡점,1443039397
피자헛 도곡2호점,11625069
피자헤븐 개포점,13450315
화덕피자파숑 개포점,36398774
파파존스 개포점,13172797
피자나라치킨공주 서울개포점,1174100111
도미노피자 양재점,11684333
피자스쿨 개포1단지점,20823678
피자헛 개포3호점,11625134
남자피자 도곡점,52273366
피자마루 양재매헌점,31192657
피자스쿨 매봉역점,18549444
피자스쿨 포이점,18803078
피자노베,13082586
마리오피자 양재매헌점,1304810521
리츠델리피자,13464405
피자OK,18420160
롸버트치킨 강남 2호기,1056988144
BHC치킨 양재점,36812779
굽네치킨 개포4동점,13197861
교촌치킨 도곡점,1623128201
네네치킨 개포1점,18799028
교촌치킨 개포1호점,630117191
굽네치킨 양재1동점,13395047
쌀통닭 개포역점,36266122
페리카나 개포2점,11799857
바른치킨 개포점,1672689874
BBQ치킨 레몬 대치본점,1060634831
굽네치킨 도곡2동점,13395003
맘스터치 포이사거리점,1242694135
BBQ치킨 개포점,1292561799
바른치킨 강남매봉점,34462640
호식이두마리치킨 개포1호점,36071450
숯불직화꼬치바베큐,1091135183
푸라닭 양재점,1039469453
60계 개포점,36928651
처갓집양념치킨 양재점,1852252753
60계 치킨 양재점,1811933169
꼬꾸이참나무치킨 개포점,36619983
60계 대치점,38286923
깐부치킨 포이동점,33409324
바른치킨 대치점,1360435309
맘스터치 매봉역점,1617773191
놀부옛날통닭 양재포이점,684878018
가마치통닭 서울 포이점,1401609975
맛있는깻잎닭강정,37991758
페리카나 개포3점,38229061
매드후라이치킨 매봉역점,38757745
깐부치킨 대치역점,1559593339
이수통닭,1466183805
호식이두마리치킨 양재점,38248419
깐부치킨 개포점,34698820
비비큐 개포동역점,257222001
구구치킨,1242116416
페리카나 대치동점,18569691
통닭사랑 양재점,37542742
지코바 양재1호점,1246200734
치킨마루 양재언남중고점,38229035
빅투치킨 개포동점,19474936
통닭사랑,38299348
치킨이맛있는집 개포본점,37426478
오븐데이 개포점,34465978
베리웰 양재점,19452573
깐부상회 개포 포레스트점,1338494660
성공푸드,31919374
THE빙빙,1328025388
치코파닭,13553505
누릉지통닭구이양재점,769648729
비에이치씨양재점,1373877829
이거스치킨 양재점,390653608
라이스치킨,35287732
HOPPYDUCK,36504707
도곡옥,1881234529
Le82,1379035482
크로스비,19872942
코지로,37695716
동물원,1293475787
레꽁디멍,1145526203
리스토랑,1158957133
타이밍 뮤직바,38765718
티엔프루프,1692149118
청담이상 양재점,13157828
와인바 치와와,1472353747
사운드온더펍 개포점,1241317802
담다,1160870772
군선생매봉점,31119657
심야오뎅 개포점,1308965491
도곡여울,1351442011
와바 도곡점,1539822371
오늘와인한잔 매봉역점,1336478701
볼로디노테,1841406313
빈티지라운지바,36195942
모야시키친,36734908
개포차,1207456246
낭만옵빠 매봉역점,37471083
을지로만선호프,1678750949
페페,1769217786
와라와라 대치역점,1214075361
한우물,18570802
통파이브 매봉역점,1189682909
포차1,1892694193
투다리 개포점,11762167
투다리 포이본점,11763539
독도골뱅이,33972367
듄비어,965225733
이자카야 렌,37918649
마방로10번가 양재점,1882040345
미꼬치사랑,537141176
골목집,18799545
토끼굴,97240000
삼삼이네술집,1222843967
소호,250255422
야간비행,1639640550
너도먹꼬나도먹꼬,13464709
날이 좋아서,1098930324
J&J,38508524
비어캐슬,18547033
양재비어,1413299485
